headline,original_rating,rating,fact_checker,review_url,review_date
"According to the voter list published by the Election Commission of India, a man named ‘Ramkamal Das’ in Uttar Pradesh has 43 sons, all of whom live in the same house.",MISLEADING,False,FACTLY,https://factly.in/voter-list-from-the-2023-varanasi-municipal-corporation-elections-showing-ramkamal-das-as-the-father-of-48-voters-is-being-shared-with-a-misleading-claim/,2025-03-13T00:00:00Z
Michelle Obama said Republicans rigged the election and weaponized the justice system.,False,False,Logically Facts,https://www.logicallyfacts.com/en/fact-check/no-michelle-obama-did-not-say-that-republicans-rigged-the-election,2025-03-13T00:00:00Z
CM Revanth Reddy paid tributes to six guarantees announced by the Telangana Congress during the 2023 elections.,False,False,NewsMeter,https://newsmeter.in/fact-check/cm-revanth-reddy-pays-tribute-to-congresss-six-guarantees-heres-the-truth-745075,2025-03-11T14:49:52Z
The video shows Seethakka criticising CM Revanth for not fulfilling election promises.,False,False,NewsMeter,https://newsmeter.in/fact-check/seethakka-says-cm-revanth-lied-about-poll-promises-no-video-clip-is-edited-745073,2025-03-11T14:33:02Z
"During a news conference with FIFA President Gianni Infantino in March 2025, U.S. President Donald Trump said, ""They rigged the election, and I became president.""",Correct Attribution,True,Snopes,https://www.snopes.com/fact-check/trump-quote-rigged-election-president/,2025-03-10T14:22:12Z
"To date, 24 African women have served as heads of state or govt across 17 different countries, but only 3 | Ellen Johnson Sirleaf (Liberia) Samia Suluhu Hassan (Tanzania) and now Netumbo Nandi-Ndaitwah (Namibia) | have actually won elections through direct popular vote.","Partly true The claim: ‘To date, 24 African women have served as heads of state or govt across 17 different countries, but only 3 | Ellen Johnson Sirleaf (Liberia) Samia Suluhu Hassan (Tanzania) and now Netumbo Nandi-Ndaitwah (Namibia) | have actually won elections through direct popular vote,’ is partly true in that while Sirleaf and Ndaitwah have directly contested and won elections, the same cannot be said of Hassan. She is currently completing the remainder of the term of Magufuli, her predecessor who died in March 2021.",True,FactCheckZW,https://factcheckzw.org/tanzanias-hassan-did-not-assume-office-through-popular-vote/,2025-03-11T00:00:00Z
Video shows President Donald Trump admitting he became president because of a “rigged” 2024 election.,False,False,PolitiFact,https://www.politifact.com/factchecks/2025/mar/10/social-media/trump-didnt-say-he-became-president-because-of-the/,2025-03-10T00:00:00Z
"Elon Musk tweeted ""The USA needs to hold an election. Trump would lose by a landslide.""",Fake Post,False,Lead Stories,https://leadstories.com/hoax-alert/2025/03/fact-check-elon-usa-needs-to-hold-election-trump-lose-by-a-landslide.html,2025-03-08T10:24:50Z
Donald Trump accused Modi of winning the election through EVM fraud.,False,False,Unknown,https://www.vishvasnews.com/english/politics/fact-check-donald-trump-did-not-accuse-modi-of-winning-elections-in-india-through-evm-fraud-viral-claim-is-fake/,2025-03-07T05:28:04Z
"A cloned website of German magazine Der Spiegel with the headline ""Sanctions against Russia are ruining the German economy.""",Fake,False,DW,https://www.dw.com/en/fact-check-how-to-spot-fabricated-news-reports/a-71992819,2025-03-21T00:00:00Z
"“Well, first off, Donald Trump walked in with a crappy economy. The number of full-time jobs has been dropping almost the entire Biden administration.""",False,False,FactCheck.org,https://www.factcheck.org/2025/03/full-time-employment-increased-under-biden-contrary-to-rick-scotts-claim/,2025-03-13T00:00:00Z
"The Maldives have not been submerged under rising seas, meaning that climate change isn't a threat to the islands.",False,False,Science Feedback,https://science.feedback.org/why-are-the-maldives-still-above-water/,2025-03-28T00:00:00Z
"Common spring allergy myths make claims about pollen, honey and climate.",False,False,WCNC,https://www.wcnc.com/article/news/verify/spring-allergy-myths-3-12-2025/275-0331ad40-80a2-4a64-a4ef-627fd8a93e13,2025-03-13T09:46:00Z
CO2 is not correlated with global temperatures,Inaccurate,False,Science Feedback,https://science.feedback.org/global-warming-doesnt-mean-everywhere-is-warming-same-rate-heres-why/,2025-03-28T00:00:00Z
A post shared on X claims that former health official Anthony Fauci's passport application was denied.,False,False,Check Your Fact,https://checkyourfact.com/2025/03/26/fact-check-us-faucis-passport-application/,2025-03-26T15:59:27Z
"This influencer says folic acid in food sabotages your health, but what if it’s actually doing the opposite?",Mostly False,False,FoodFacts.org,https://www.foodfacts.org/articles/folic-acid-health-childrens-behaviour,
a specific food can help with common health problems,Mostly True,True,THIP Media,https://www.thip.media/health-news-fact-check/fact-check-can-a-specific-food-help-with-common-health-problems/107274/,2025-03-20T08:20:00Z
"Black nightshade can improve kidney health, and treat multiple ailments",Mostly False,False,THIP Media,https://www.thip.media/health-news-fact-check/can-black-nightshade-improve-kidney-health-and-treat-multiple-ailments/107206/,2025-03-15T15:29:21Z
"“There are notable long-term health benefits associated with having had the measles.""",Misleading,False,FactCheck.org,https://www.factcheck.org/2025/03/measles-is-harmful-contrary-to-flimsy-social-media-claims-of-long-term-benefits/,2025-03-14T00:00:00Z
"Filipino physician Liza Ramoso-Ong, wife of doctor and online health personality Dr. Willie Ong, promotes Bee Venom Advanced Joint and Bone Care Cream as a cure for joint pain and gout.",False,False,Rappler,https://www.rappler.com/newsbreak/fact-check/advertisement-gout-joint-pain-cure-use-deepfake-video-filipino-doctor/,2025-03-14T04:43:44Z
High-intensity exercise can destroy cancer cells,Mostly False,False,THIP Media,https://www.thip.media/health-news-fact-check/fact-check-can-high-intensity-exercise-destroy-cancer-cells/108036/,2025-03-21T10:17:19Z
"In March 2025, U.S. Immigration and Customs Enforcement (ICE) agents detained Turkish national and Tufts University graduate student Rumeysa Ozturk.",True,True,Snopes,https://www.snopes.com/fact-check/tufts-student-ice/,2025-03-28T15:55:26Z
A video shows garbage piling up in Birmingham because of Muslim immigrants.,misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/15/video-does-not-show-birmingham-being-overrun-trash-due-muslim-immigrants,2025-03-15T13:39:49Z
"In March 2025, U.S. Immigration and Customs Enforcement (ICE) agents arrested and detained Palestinian activist Mahmoud Khalil, a lawful permanent resident of the U.S.",True,True,Snopes,https://www.snopes.com/fact-check/ice-arrested-deported-mahmoud-khalil/,2025-03-11T14:17:01Z
The video shows a massive ‘riot’ against immigrants in Greece.,Misleading,False,Logically Facts,https://www.logicallyfacts.com/en/fact-check/no-the-video-does-not-show-anti-immigrant-riot-in-greece,2025-03-05T00:00:00Z
"The media did not report statements made by former president Rodrigo Duterte during a Senate hearing on October 28, 2024, in which he defended his administration’s war on drugs.",False,False,Rappler,https://www.rappler.com/newsbreak/fact-check/media-reported-rodrigo-duterte-drug-war-hearing-statements/,2025-04-02T05:33:57Z
"Social media users are claiming that Trump just posted this on his Truth Social account: 'Tariff war is over, massive.'",fake,False,Unknown,https://www.misbar.com/en/factcheck/2025/04/02/no-evidence-supports-claims-trump%E2%80%99s-tariff-war-ending,2025-04-02T11:04:18Z
The video shows the bodies of war victims from Gaza in March 2025.,FALSE,False,FACTLY,https://factly.in/a-video-from-a-november-2023-protest-in-pakistan-in-solidarity-with-palestinians-is-shared-as-visuals-of-gaza-war-victims-from-march-2025/,2025-03-27T00:00:00Z
"""Nobody was texting war plans"" in the Trump administration Signal group text about bombing Yemen.",False,False,PolitiFact,https://www.politifact.com/factchecks/2025/mar/26/pete-hegseth/fact-checking-pete-hegseths-false-statement-that-n/,2025-03-26T00:00:00Z
Former president Rodrigo Duterte never ordered deaths in the war on drugs and his directive only focused on criminals who violently resisted arrest.,False,False,Rappler,https://www.rappler.com/newsbreak/fact-check/rodrigo-duterte-drug-war-order-not-limited-suspects-resisted-arrest/,2025-03-25T07:00:00Z
Video shows war victims who lost their lives in Gaza during the Israel-Palestine conflict,Misleading,False,NewsMobile,https://www.newsmobile.in/nm-fact-checker/fact-check-viral-video-of-pro-palestine-rally-in-pakistan-misrepresented-as-footage-from-gaza/,2025-03-25T00:00:00Z
Prime Minister Anthony Albanese is trying to pass a bill to conscript Australians for war.,False. The government is not proposing to introduce conscription.,False,Australian Associated Press,https://aap.com.au/factcheck/albanese-government-isnt-reintroducing-mandatory-conscription/,2025-03-21T11:15:04Z
The ICC dismissed drug war charges against Duterte,False,False,VERA Files,https://verafiles.org/articles/fact-check-icc-charges-vs-duterte-not-dismissed,2025-03-18T00:00:00Z
"Only 19 to 24 deaths were attributed to the war on drugs during the administration of former president Rodrigo Duterte, as cited in the case folders of the International Criminal Court (ICC).
Rating: FALSE",False,False,Rappler,https://www.rappler.com/newsbreak/fact-check/post-misrepresents-numbers-killings-icc-charges-rodrigo-duterte/,2025-03-17T09:00:00Z
A post shared on Threads claims that an outlet reported France demanded $150 trillion for helping the United States during its war of independence.,False,False,Check Your Fact,http://checkyourfact.com/2025/03/17/fact-check-france-demand-150-trillion-us-independence/,2025-03-17T16:44:09Z
"According to a news report, the International Criminal Court (ICC) has dismissed the case against former president Rodrigo Duterte in relation to the drug war killings under his administration.",False,False,Rappler,https://www.rappler.com/newsbreak/fact-check/news-report-not-state-icc-dismissal-rodrigo-duterte-case/,2025-03-14T05:30:00Z
"As of February 2025, the United States had given $350 billion in military aid to Ukraine for its war with Russia.",False,False,Snopes,https://www.snopes.com/fact-check/trump-military-aid-ukraine/,2025-03-13T06:00:03Z
A video shows people being made up to look like war-torn Ukrainian soldiers to get more US funding.,False. The clip shows behind-the-scenes footage from the making of a music video.,False,Australian Associated Press,https://www.aap.com.au/factcheck/ukrainian-soldiers-falsely-accused-of-faking-combat-for-sympathy/,2025-03-10T18:15:08Z
Ukraine “soldiers” have resorted to faking combat in order to appear “war torn” so the slush fund from the U.S. keeps churning money their way!,misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/10/music-video-footage-shared-staged-combat-scenes,2025-03-10T13:21:38Z
A photograph authentically depicts then-British Prime Minister Winston Churchill visiting the White House in the U.S. during World War II wearing a “siren-suit.”,True,True,Snopes,https://www.snopes.com/fact-check/churchill-siren-suit-white-house/,2025-03-10T06:00:03Z
Footage shows recent footage of Eritrean army crossing Ethiopian border,False,False,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.38GX7NP,2025-03-31T15:19:00Z
List shows Canada's tariffs on US goods before trade war,Misleading,False,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.36ZB6AD,2025-03-06T16:10:00Z
Video shows Israeli soldiers pushing Palestinians into boiling water,False,False,Logically Facts,https://www.logicallyfacts.com/en/fact-check/bangkok-theme-park-video-shared-israel-war-crimes-palestinians,2025-03-27T00:00:00Z
"Comedian and television host Vice Ganda said the following statement in a quote card circulating online after the arrest of former president Rodrigo Duterte:

“I don't want to be hypocritical, let's admit that during FPRRD's time, most addicts changed their lives, most criminals gave up, because they were afraid of Duterte. You go out at night confidently because you know that the criminals have been reduced.

If Duterte hadn't led the pandemic, we would all be dead. Duterte used all the government funds just to get us through the pandemic.”",False,False,Rappler,https://www.rappler.com/newsbreak/fact-check/vice-ganda-quote-card-duterte-drug-war-pandemic-response-fake/,2025-03-13T05:43:51Z
Zelenskyy saying the U.S. will have “to send their sons and daughters” to die for Ukraine.,misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/09/misleading-video-zelenskyy-saying-us-%E2%80%98send-their-sons-and-daughters-war%E2%80%99,2025-03-09T13:06:45Z
US ends military aid to Egypt for causing regional tensions,Misleading,False,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.37N379E,2025-03-25T10:32:00Z
"Old video of bus explosion in Turbat, Balochistan, shared as recent BLA attack on Pakistani military convoy",Misleading,False,PTI,https://www.ptinews.com/fact-detail/Old-video-of-bus-explosion-in-Turbat--Balochistan--shared-as-recent-BLA-attack-on-Pakistani-military-convoy/2393098,
Screenshots of Korean news clips show U.S. military person was involved in a violent street brawl in South Korea. He did this to gain followers on Xiaohongshu (RedNote).,Misleading. Associated video screenshots were taken from old news reports in 2022. There is no evidence that suggests a U.S. soldier was randomly assaulting people in the street for live-streaming in recent months.,False,annie lab,https://annielab.org/2025/03/21/analysis-no-evidence-supports-viral-story-of-us-soldiers-assault-in-south-korea/,2025-03-21T00:00:00Z
The U.S. Department of Defense removed a webpage about the military career of Black baseball legend Jackie Robinson in early 2025.,True,True,Snopes,https://www.snopes.com/fact-check/jackie-robinson-dod-dei/,2025-03-20T12:29:09Z
Reportedly Mass Ukrainian surrenders in the Kursk region. America stopped sharing intelligence and hit the pause button on more military aid.,misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/16/2022-video-mariupol-surrender-misattributed-kursk-events,2025-03-16T00:04:03Z
"Elon Musk left his home country, South Africa, in part to avoid mandatory military service.",True,True,Snopes,https://www.snopes.com/fact-check/musk-military-draft-south-africa/,2025-03-13T18:30:03Z
"""All armed services are having among the best recruiting results ever” because of Trump policies, and “it was just a few months ago where the results were exactly the opposite.”",Mostly False,False,PolitiFact,https://www.politifact.com/factchecks/2025/mar/11/donald-trump/military-recruitment-is-up-donald-trump-joe-biden/,2025-03-11T00:00:00Z
"The viral visuals claiming to show Turkish military moving into Syria, bodies covered in shrouds, and a military official resigning.",Misleading,False,Logically Facts,https://www.logicallyfacts.com/en/fact-check/old-unrelated-visuals-linked-to-recent-syrian-violence,2025-03-11T00:00:00Z
Reportedly another Turkish military convoy entering Syria.,misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/10/video-does-not-show-turkish-invasion-syria-amid-latest-clashes,2025-03-10T13:37:42Z
“Europe also has no weapons — the warehouses are empty.”,Misleading,False,VOA,https://www.voanews.com/a/russia-s-kiselyov-misleads-on-european-military-capacities/7998746.html,2025-03-05T16:23:56Z
"In March 2025, the U.S. Department of Defense removed a webpage reporting the history of ""Golden Girls"" actor Bea Arthur enlisting in the Marine Corps Women's Reserve during World War II.",True,True,Snopes,https://www.snopes.com/fact-check/dod-removed-bea-arthur/,2025-03-26T06:00:03Z
The Trump administration removed Navajo Code Talker history from some government websites in accordance with President Donald Trump's anti-DEI orders.,True,True,Snopes,https://www.snopes.com/fact-check/trump-navajo-code-talkers-dei/,2025-03-19T12:47:37Z
"Social media post claiming govt providing jobs to all unemployed youth under One Family, One Job scheme is baseless; details inside",False,False,PTI,https://www.ptinews.com/fact-detail/pti-fact-check-social-media-post-claiming-govt-providing-jobs-to-all-unemployed-youth-under-one-family-one-job-scheme-is-baseless-details-inside/2425527,
This video of Uday Kotak promoting financial platform is digitally altered; false claim shared on social media as real,False,False,PTI,https://www.ptinews.com/fact-detail/pti-fact-check-this-video-of-uday-kotak-promoting-financial-platform-is-digitally-altered-false-claim-shared-on-social-media-as-real/2413258,
Social media claims that the popular fast-food restaurant chain Chipotle filed for bankruptcy and will close all of its locations are accurate.,False,False,Snopes,https://www.snopes.com/fact-check/chipotle-bankrupt-closing-false/,2025-03-27T14:32:42Z
Social media post claiming PhonePe offered cashbacks during ongoing IPL season is fake; details inside,False,False,PTI,https://www.ptinews.com/fact-detail/Social-media-post-claiming-PhonePe-offered-cashbacks-during-ongoing-IPL-season-is-fake%3B-details-inside/2410575,
Social media user falsely claimed Karnataka govt's decision to impart self-defence training was only for Muslim girls; details inside,False,False,PTI,https://www.ptinews.com/fact-detail/Social-media-user-falsely-claimed-Karnataka-govt-s-decision-to-impart-self-defence-training-was-only-for-Muslim-girls%3B-details-inside/2403362,
Social media users are circulating a video claiming to show Trumps latest batch of aid for the Children of Gaza has arrived.,misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/24/old-video-us-military-aid-israel-resurfaces-amid-renewed-assault-gaza,2025-03-24T14:28:02Z
Social media video shared with false claim that Hindu devotees attacked in Sambhal,Misleading,False,PTI,https://www.ptinews.com/fact-detail/pti-fact-check-social-media-video-shared-with-false-claim-that-hindu-devotees-attacked-in-sambhal/2398008,
Social media users are circulating a video claiming to show Palestinian kids recently killed in Gaza.,misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/23/video-shows-pro-palestine-protest-pakistan-not-recently-killed-children-gaza,2025-03-22T21:13:52Z
Social media post falsely claims Shirdi Sai Trust donated Rs 35 crore for Hajj; details inside,False,False,PTI,https://www.ptinews.com/fact-detail/Social-media-post-falsely-claims-Shirdi-Sai-Trust-donated-Rs-35-crore-for-Hajj%3B-details-inside/2393177,
"Videos and still images shared to social media authentically showed Elephant Rock, a naturally formed geological feature located on an island in Iceland.",True,True,Snopes,https://www.snopes.com/fact-check/iceland-elephant-head-rock-formation/,2025-03-16T11:00:03Z
AI-generated video showing PM Modi wearing white skull cap shared on social media with false claim,False,False,PTI,https://www.ptinews.com/fact-detail/pti-fact-check-ai-generated-video-showing-pm-modi-wearing-white-skull-cap-shared-on-social-media-with-false-claim/2368227,
"“[The] situation in Juba is made to be fragile by certain elements so that people live in fear. ... Let me assure the people of Juba and people of South Sudan in general there is no fear, don’t rely on all this nonsense that you read in social media.”",False,False,VOA,https://www.voanews.com/a/attacks-ugandan-troops-undermine-south-sudan-minister-assurance-of-calm/8007264.html,2025-03-11T20:45:35Z
Did India-Pak cricketers mourn death of Kohli's father during Champions Trophy match? Claim in video shared on social media is absolutely false,Misleading,False,PTI,https://www.ptinews.com/fact-detail/Did-India-Pak-cricketers-mourn-death-of-Kohli-s-father-during-Champions-Trophy-match--Claim-in-video-shared-on-social-media-is-absolutely-false/2362994,
Microsoft co-founder Bill Gates announced a $333 million bid to buy tech billionaire Elon Musk's X social media platform.,False,False,Snopes,https://www.snopes.com/fact-check/bill-gates-333-million-bid-x/,2025-03-10T16:53:39Z
"Keir Starmer did not mention Mother’s Day yesterday, but he did post about Eid marking the end of Ramadan for Muslims.","This is misleading. While Mr Starmer didn’t mention Mother’s Day on X, he did post about it on Facebook, Instagram and LinkedIn. He posted about Eid on Facebook and X, but not on LinkedIn or Instagram.",False,Full Fact,https://fullfact.org/online/mothers-day-keir-starme-eid-missing-context/,2025-03-31T00:00:00Z
"In September 2024, the U.S. Centers for Disease Control and Prevention (CDC) issued a warning to not consume instant ramen after five children died within hours of eating the soup contaminated with bacteria.",False,False,Snopes,https://www.snopes.com/fact-check/cdc-ramen-noodles/,2025-03-31T03:00:03Z
AI-generated photo of Australian cricketer Travis Head with his wife shared on social media with false claim,False,False,PTI,https://www.ptinews.com/fact-detail/pti-fact-check-ai-generated-photo-of-australian-cricketer-travis-head-with-his-wife-shared-on-social-media-with-false-claim/2351550,
Fact Check: Video of anti-terror mock drill at VIT Vellore shared on social media with false claim,Misleading,False,Lighthouse Journalism,https://www.lighthousejournalism.com/viral/fact-checkvideo-of-anti-terror-mock-drill-at-vit-vellore-shared-on-social-media-with-false-claim-4052/,
A video in social media platforms claim that large number of muslim men attacked police officials in Vaniyambadi,False,False,NewsMeter,https://newsmeter.in/fact-check/fact-check-did-muslims-attack-policemen-in-vellore-recently-know-the-truth-744760,2025-03-05T11:18:07Z
